ts,name,cpuPct,mem
2026-07-23T12:04:51,lucky-star-gateway-service,2.33%,463.4MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-game-service,0.56%,676MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-member-service,20.05%,587MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-wallet-service,1.25%,749.9MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-admin-service,1.42%,604.4MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-rank-service,0.46%,510MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-notification-service,0.64%,329.4MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-kafka-ui,0.09%,265.4MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-postgres,0.15%,383.1MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-redis,0.35%,8.469MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-kafka,3.07%,953.7MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-mysql,0.61%,507.6MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-grafana,0.11%,52.21MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-prometheus,1.95%,64.68MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-zookeeper,0.22%,133.5MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-gateway-service,2.33%,463.4MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-game-service,0.56%,676MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-member-service,20.05%,587MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-wallet-service,1.25%,749.9MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-admin-service,1.42%,604.4MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-rank-service,0.46%,510MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-notification-service,0.64%,329.4MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-kafka-ui,0.09%,265.4MiB / 15.47GiB
2026-07-23T12:04:51,lucky-star-postgres,0.15%,383.1MiB / 15.47GiB
