ts,name,cpu,mem
14:25:19,lucky-star-gateway-service,0.14%,486.6MiB / 15.47GiB
14:25:19,lucky-star-game-service,0.16%,902.8MiB / 15.47GiB
14:25:19,lucky-star-member-service,0.94%,701.6MiB / 15.47GiB
14:25:19,lucky-star-wallet-service,1.18%,814.1MiB / 15.47GiB
14:25:19,lucky-star-admin-service,0.38%,656.9MiB / 15.47GiB
14:25:19,lucky-star-rank-service,0.50%,630.5MiB / 15.47GiB
14:25:19,lucky-star-notification-service,0.48%,343.8MiB / 15.47GiB
14:25:19,lucky-star-kafka-ui,0.11%,282.3MiB / 15.47GiB
14:25:19,lucky-star-postgres,0.11%,623.7MiB / 15.47GiB
14:25:19,lucky-star-redis,0.31%,12.37MiB / 15.47GiB
14:25:19,lucky-star-kafka,2.54%,1.217GiB / 15.47GiB
14:25:19,lucky-star-mysql,0.55%,591.8MiB / 15.47GiB
14:25:19,lucky-star-grafana,0.10%,52.24MiB / 15.47GiB
14:25:19,lucky-star-prometheus,0.68%,65.33MiB / 15.47GiB
14:25:19,lucky-star-zookeeper,0.16%,135.4MiB / 15.47GiB
14:25:21,lucky-star-gateway-service,0.23%,486.9MiB / 15.47GiB
14:25:21,lucky-star-game-service,0.21%,902.8MiB / 15.47GiB
14:25:21,lucky-star-member-service,0.56%,701.8MiB / 15.47GiB
14:25:21,lucky-star-wallet-service,2.23%,814.8MiB / 15.47GiB
14:25:21,lucky-star-admin-service,0.66%,656.7MiB / 15.47GiB
14:25:21,lucky-star-rank-service,1.55%,630.9MiB / 15.47GiB
14:25:21,lucky-star-notification-service,0.72%,343.6MiB / 15.47GiB
14:25:21,lucky-star-kafka-ui,0.15%,282.3MiB / 15.47GiB
14:25:21,lucky-star-postgres,0.28%,623.9MiB / 15.47GiB
14:25:21,lucky-star-redis,0.51%,12.62MiB / 15.47GiB
14:25:21,lucky-star-kafka,4.18%,1.218GiB / 15.47GiB
14:25:21,lucky-star-mysql,0.87%,592MiB / 15.47GiB
14:25:21,lucky-star-grafana,0.11%,52.24MiB / 15.47GiB
14:25:21,lucky-star-prometheus,0.38%,65.44MiB / 15.47GiB
14:25:21,lucky-star-zookeeper,0.11%,134.8MiB / 15.47GiB
14:25:24,lucky-star-gateway-service,0.20%,486.6MiB / 15.47GiB
14:25:24,lucky-star-game-service,0.84%,903.1MiB / 15.47GiB
14:25:24,lucky-star-member-service,0.33%,701.5MiB / 15.47GiB
14:25:24,lucky-star-wallet-service,1.75%,814MiB / 15.47GiB
14:25:24,lucky-star-admin-service,0.46%,656.7MiB / 15.47GiB
14:25:24,lucky-star-rank-service,0.70%,631.1MiB / 15.47GiB
14:25:24,lucky-star-notification-service,0.57%,343.8MiB / 15.47GiB
