ts,name,cpu,mem
14:30:44,lucky-star-wallet-service,29.03%,537.4MiB / 15.47GiB
14:30:44,lucky-star-gateway-service,0.11%,515.9MiB / 15.47GiB
14:30:44,lucky-star-game-service,0.85%,984.6MiB / 15.47GiB
14:30:44,lucky-star-member-service,0.22%,701.1MiB / 15.47GiB
14:30:44,lucky-star-admin-service,0.39%,661.1MiB / 15.47GiB
14:30:44,lucky-star-rank-service,0.50%,632.2MiB / 15.47GiB
14:30:44,lucky-star-notification-service,0.32%,344.2MiB / 15.47GiB
14:30:44,lucky-star-kafka-ui,0.08%,290.9MiB / 15.47GiB
14:30:44,lucky-star-postgres,0.79%,701.7MiB / 15.47GiB
14:30:44,lucky-star-redis,0.33%,12.99MiB / 15.47GiB
14:30:44,lucky-star-kafka,8.49%,1.233GiB / 15.47GiB
14:30:44,lucky-star-mysql,19.22%,601.6MiB / 15.47GiB
14:30:44,lucky-star-grafana,0.09%,58.07MiB / 15.47GiB
14:30:44,lucky-star-prometheus,1.03%,76.39MiB / 15.47GiB
14:30:44,lucky-star-zookeeper,0.06%,135MiB / 15.47GiB
14:30:45,lucky-star-wallet-service,32.29%,538.1MiB / 15.47GiB
14:30:45,lucky-star-gateway-service,1.07%,516.2MiB / 15.47GiB
14:30:45,lucky-star-game-service,0.27%,984.6MiB / 15.47GiB
14:30:45,lucky-star-member-service,0.24%,701.7MiB / 15.47GiB
14:30:45,lucky-star-admin-service,0.97%,660.6MiB / 15.47GiB
14:30:45,lucky-star-rank-service,0.41%,632.3MiB / 15.47GiB
14:30:45,lucky-star-notification-service,0.48%,344.2MiB / 15.47GiB
14:30:45,lucky-star-kafka-ui,0.07%,290.9MiB / 15.47GiB
14:30:45,lucky-star-postgres,0.60%,701.4MiB / 15.47GiB
14:30:45,lucky-star-redis,0.28%,13.25MiB / 15.47GiB
14:30:45,lucky-star-kafka,8.10%,1.233GiB / 15.47GiB
14:30:45,lucky-star-mysql,19.39%,600.9MiB / 15.47GiB
14:30:45,lucky-star-grafana,0.03%,58.07MiB / 15.47GiB
14:30:45,lucky-star-prometheus,2.55%,76.64MiB / 15.47GiB
14:30:45,lucky-star-zookeeper,0.09%,134.9MiB / 15.47GiB
14:30:47,lucky-star-wallet-service,26.33%,537.4MiB / 15.47GiB
14:30:47,lucky-star-gateway-service,5.48%,516.4MiB / 15.47GiB
14:30:47,lucky-star-game-service,3.89%,985MiB / 15.47GiB
14:30:47,lucky-star-member-service,4.53%,701.3MiB / 15.47GiB
14:30:47,lucky-star-admin-service,0.42%,660.1MiB / 15.47GiB
14:30:47,lucky-star-rank-service,3.35%,631.1MiB / 15.47GiB
14:30:47,lucky-star-notification-service,7.91%,344MiB / 15.47GiB
14:30:47,lucky-star-kafka-ui,0.13%,290.9MiB / 15.47GiB
14:30:47,lucky-star-postgres,0.99%,701.4MiB / 15.47GiB
14:30:47,lucky-star-redis,0.36%,13.5MiB / 15.47GiB
14:30:47,lucky-star-kafka,79.70%,1.274GiB / 15.47GiB
14:30:47,lucky-star-mysql,28.14%,600.1MiB / 15.47GiB
14:30:47,lucky-star-grafana,0.05%,57.82MiB / 15.47GiB
